ID,name,fuel,seller_type,transmission,owner
2000,Maruti 800 AC,Petrol,Individual,Manual,First Owner
2003,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,First Owner
2006,Hyundai Verna 1.6 SX,Diesel,Individual,Manual,First Owner
2009,Datsun RediGO T Option,Petrol,Individual,Manual,First Owner
2012,Honda Amaze VX i-DTEC,Diesel,Individual,Manual,Second Owner
2015,Maruti Alto LX BSIII,Petrol,Individual,Manual,First Owner
2018,Hyundai Xcent 1.2 Kappa S,Petrol,Individual,Manual,First Owner
2021,Tata Indigo Grand Petrol,Petrol,Individual,Manual,Second Owner
2024,Hyundai Creta 1.6 VTVT S,Petrol,Individual,Manual,First Owner
2027,Maruti Celerio Green VXI,CNG,Individual,Manual,First Owner
2030,Chevrolet Sail 1.2 Base,Petrol,Individual,Manual,First Owner
2033,Tata Indigo Grand Petrol,Petrol,Individual,Manual,First Owner
2036,Toyota Corolla Altis 1.8 VL CVT,Petrol,Dealer,Automatic,First Owner
2039,Maruti 800 AC,Petrol,Individual,Manual,First Owner
2042,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,First Owner
2045,Hyundai Verna 1.6 SX,Diesel,Individual,Manual,First Owner
2048,Datsun RediGO T Option,Petrol,Individual,Manual,First Owner
2051,Honda Amaze VX i-DTEC,Diesel,Individual,Manual,Second Owner
2054,Maruti Alto LX BSIII,Petrol,Individual,Manual,First Owner
2057,Hyundai Xcent 1.2 Kappa S,Petrol,Individual,Manual,First Owner
2060,Tata Indigo Grand Petrol,Petrol,Individual,Manual,Second Owner
2063,Hyundai Creta 1.6 VTVT S,Petrol,Individual,Manual,First Owner
2066,Maruti Celerio Green VXI,CNG,Individual,Manual,First Owner
2069,Chevrolet Sail 1.2 Base,Petrol,Individual,Manual,First Owner
2072,Tata Indigo Grand Petrol,Petrol,Individual,Manual,First Owner
2075,Toyota Corolla Altis 1.8 VL CVT,Petrol,Dealer,Automatic,First Owner
2078,Maruti Ciaz VXi Plus,Petrol,Dealer,Manual,First Owner
2081,Hyundai Venue SX Opt Diesel,Diesel,Dealer,Manual,First Owner
2084,Chevrolet Enjoy TCDi LTZ 7 Seater,Diesel,Individual,Manual,Second Owner
2087,Jaguar XF 2.2 Litre Luxury,Diesel,Dealer,Automatic,First Owner
2090,Mercedes-Benz New C-Class 220 CDI AT,Diesel,Dealer,Automatic,First Owner
2093,Maruti Vitara Brezza ZDi Plus AMT,Diesel,Dealer,Automatic,First Owner
2096,Audi Q5 2.0 TDI,Diesel,Dealer,Automatic,First Owner
2099,Honda City V MT,Petrol,Dealer,Manual,First Owner
2102,Tata Tigor 1.2 Revotron XT,Petrol,Individual,Manual,First Owner
