ID,name,year,selling_price,km_driven
2000,Maruti 800 AC,2007,€ 0,70000
2003,Maruti Wagon R LXI Minor,2007,€ 135000,50000
2006,Hyundai Verna 1.6 SX,2012,€ 600000,100000
2009,Datsun RediGO T Option,2017,€ 250000,46000
2012,Honda Amaze VX i-DTEC,2014,€ 450000,141000
2015,Maruti Alto LX BSIII,2007,€ 140000,125000
2018,Hyundai Xcent 1.2 Kappa S,2016,€ 550000,25000
2021,Tata Indigo Grand Petrol,2014,€ 240000,60000
2024,Hyundai Creta 1.6 VTVT S,2015,€ 850000,25000
2027,Maruti Celerio Green VXI,2017,€ 365000,78000
2030,Chevrolet Sail 1.2 Base,2015,€ 260000,35000
2033,Tata Indigo Grand Petrol,2014,€ 250000,100000
2036,Toyota Corolla Altis 1.8 VL CVT,2018,€ 1650000,25000
2039,Maruti 800 AC,2007,€ 60000,70000
2042,Maruti Wagon R LXI Minor,2007,€ 135000,50000
2045,Hyundai Verna 1.6 SX,2012,€ 600000,100000
2048,Datsun RediGO T Option,2017,€ 250000,46000
2051,Honda Amaze VX i-DTEC,2014,€ 450000,141000
2054,Maruti Alto LX BSIII,2007,€ 140000,125000
2057,Hyundai Xcent 1.2 Kappa S,2016,€ 550000,25000
2060,Tata Indigo Grand Petrol,2014,€ 240000,60000
2063,Hyundai Creta 1.6 VTVT S,2015,€ 850000,25000
2066,Maruti Celerio Green VXI,2017,€ 365000,78000
2069,Chevrolet Sail 1.2 Base,2015,€ 260000,35000
2072,Tata Indigo Grand Petrol,2014,€ 250000,100000
2075,Toyota Corolla Altis 1.8 VL CVT,2018,€ 1650000,25000
2078,Maruti Ciaz VXi Plus,2015,€ 585000,24000
2081,Hyundai Venue SX Opt Diesel,2019,€ 1195000,5000
2084,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,€ 390000,33000
2087,Jaguar XF 2.2 Litre Luxury,2014,€ 1964999,28000
2090,Mercedes-Benz New C-Class 220 CDI AT,2013,€ 1425000,59000
2093,Maruti Vitara Brezza ZDi Plus AMT,2018,€ 975000,4500
2096,Audi Q5 2.0 TDI,2011,€ 1190000,175900
2099,Honda City V MT,2018,€ 930000,14500
2102,Tata Tigor 1.2 Revotron XT,2018,€ 525000,15000
2105,Audi A6 2.0 TDI  Design Edition,2013,€ 1735000,50000
2108,Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,€ 1375000,33800
2111,Skoda Superb Ambition 2.0 TDI CR AT,2011,€ 450000,130400
2114,Toyota Corolla Altis G AT,2016,€ 900000,50000
2117,Toyota Innova 2.5 G (Diesel) 7 Seater,2015,€ 1300000,80000
2120,Jeep Compass 1.4 Sport Plus BSIV,2019,€ 1400000,10000
2123,Mercedes-Benz E-Class E 200 CGI Elegance,2010,€ 850000,119000
2126,Hyundai i10 Magna 1.1L,2014,€ 229999,60000
2129,BMW 3 Series 320d Sport Line,2013,€ 1550000,75800
2132,Audi Q7 35 TDI Quattro Premium,2009,€ 1250000,78000
2135,Hyundai Elantra CRDi S,2012,€ 625000,40000
2138,Mahindra Scorpio 1.99 S10,2014,€ 1050000,50000
2141,Honda City i DTEC V,2014,€ 560000,74000
2144,Maruti Wagon R VXI BS IV with ABS,2014,€ 290000,64000
2147,Maruti Wagon R VXI BS IV,2012,€ 275000,60000
2150,Mahindra Scorpio LX,2009,€ 411000,120000
2153,Hyundai Santro Xing GLS,2009,€ 150000,79000
2156,Hyundai Grand i10 1.2 Kappa Asta,2019,€ 500000,15000
2159,Maruti Alto LXi,2006,€ 100000,80000
2162,Maruti Swift Dzire VDI Optional,2017,€ 725000,18500
2165,Maruti Eeco 5 Seater AC BSIV,2018,€ 401000,10200
2168,Hyundai i20 Sportz 1.4 CRDi,2018,€ 750000,29000
2171,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,€ 310000,28000
2174,Maruti Swift ZDi BSIV,2016,€ 665000,46000
2177,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,€ 465000,70000
2180,Maruti Alto LXi,2012,€ 160000,60000
2183,Mahindra Jeep CL 500 MDI,1996,€ 250000,35000
2186,Honda City i DTEC VX,2014,€ 675000,90000
2189,Maruti Wagon R VXI BS IV,2013,€ 300000,80000
2192,Tata Indica DLS,2005,€ 70000,80000
2195,Hyundai EON Magna Plus,2014,€ 240000,73300
2198,Toyota Etios GD,2014,€ 525000,92000
2201,Maruti Alto LXi,2009,€ 151000,66764
2204,Maruti Alto LXi,2009,€ 140000,100000
2207,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,€ 280000,350000
2210,Toyota Corolla Altis Diesel D4DG,2011,€ 350000,230000
2213,Mahindra Scorpio 1.99 S6 Plus,2017,€ 570000,60000
2216,Hyundai EON Magna Plus,2018,€ 300000,31000
2219,Tata Indigo Classic Dicor,2007,€ 100000,39000
2222,Toyota Innova 2.5 V Diesel 8-seater,2009,€ 500000,120000
2225,Tata Indica Vista Quadrajet LS,2014,€ 125000,166000
2228,Maruti Swift 1.3 VXi,2006,€ 130000,110000
2231,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,€ 925000,35000
2234,Maruti Ciaz 1.3 Delta,2018,€ 750000,60000
2237,Honda Civic 1.8 V AT,2007,€ 200000,54000
2240,Hyundai i10 Sportz 1.2,2010,€ 248000,63000
2243,Skoda Rapid 1.5 TDI Elegance,2014,€ 450000,120000
2246,Hyundai Getz GLS,2005,€ 80000,120000
2249,Nissan Terrano XL,2014,€ 650000,76000
2252,Hyundai Grand i10 CRDi Sportz,2015,€ 450000,80000
2255,Hyundai Elite i20 Diesel Era,2019,€ 650000,25000
2258,Honda Amaze S i-VTEC,2016,€ 495000,11958
2261,Honda Brio S MT,2015,€ 0,20000
2264,Hyundai Creta 1.6 SX Option,2017,€ 1025000,9000
2267,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,€ 8150000,6500
2270,Mahindra XUV500 W8 2WD,2015,€ 750000,70000
2273,Renault Duster 85PS Diesel RxL Optional,2013,€ 600000,120000
2276,Hyundai Santro Xing XO,2007,€ 80000,58000
2279,Mahindra Bolero 2011-2019 SLE,2013,€ 325000,62200
2282,Audi A6 2.0 TDI Premium Plus,2014,€ 1470000,34000
2285,Fiat Avventura MULTIJET Emotion,2015,€ 350000,53000
2288,Audi A8 4.2 TDI,2013,€ 2800000,49000
2291,Datsun RediGO 1.0 S,2017,€ 210000,15000
2294,Volkswagen Jetta 1.4 TSI Comfortline,2013,€ 450000,50000
2297,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,€ 1150000,53000
2300,Honda Civic 1.8 V AT,2009,€ 210000,63500
2303,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,€ 4500000,9800
2306,BMW X1 sDrive 20d xLine,2017,€ 2750000,13000
2309,Volvo V40 D3 R Design,2018,€ 1975000,21000
2312,Maruti SX4 Zxi BSIII,2008,€ 175000,29173
2315,BMW 7 Series 730Ld,2012,€ 2500000,48000
2318,Mahindra Bolero Power Plus SLX,2017,€ 628000,120000
2321,Hyundai Sonata CRDi M/T,2010,€ 600000,100000
2324,Nissan Micra Active XV Petrol,2017,€ 399000,30000
2327,Mahindra Xylo D4,2018,€ 750000,87000
2330,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,€ 750000,15000
2333,Renault KWID RXT,2017,€ 315000,16000
2336,Mahindra Xylo E4 BS III,2012,€ 600000,60000
2339,Maruti Wagon R LXI Minor,2010,€ 100000,60000
2342,Maruti SX4 ZXI MT BSIV,2011,€ 250000,110000
2345,Renault KWID RXT,2017,€ 350000,25000
2348,Hyundai Creta 1.4 CRDi S,2016,€ 780000,60000
2351,Maruti Swift Dzire VDI,2014,€ 434000,79350
2354,Hyundai Verna 1.6 VTVT AT S Option,2016,€ 690000,80000
2357,Mahindra Scorpio LX BSIV,2014,€ 555000,90000
2360,Maruti SX4 Vxi BSIII,2007,€ 120000,90000
2363,Maruti Ertiga VDI,2014,€ 500000,120000
2366,Chevrolet Beat Diesel,2013,€ 165000,60000
2369,Maruti Zen LX,2004,€ 95000,50000
2372,Maruti Baleno Delta 1.2,2018,€ 550000,20000
2375,Maruti Swift Vdi BSIII,2007,€ 100000,110000
2378,Tata Nano Lx BSIV,2012,€ 100000,50000
2381,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,€ 0,100000
2384,Maruti Ertiga SHVS VDI,2016,€ 800000,70000
2387,Hyundai Creta 1.6 CRDi SX,2016,€ 840000,70000
2390,Honda Amaze S i-Vtech,2016,€ 490000,50000
2393,Tata Indica Vista Aqua 1.4 TDI,2010,€ 125000,81000
2396,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,€ 400000,120000
2399,Chevrolet Cruze LTZ,2015,€ 1000000,3600
2402,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,€ 530000,14272
2405,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,€ 840000,49213
2408,Hyundai i10 Sportz 1.1L,2015,€ 229999,40000
2411,Maruti 800 Std,1998,€ 40000,40000
2414,Chevrolet Spark 1.0 LS,2012,€ 130000,80000
2417,Hyundai EON Era Plus,2015,€ 200000,70000
2420,Tata Indica Vista Aqua TDI BSIII,2011,€ 120000,70000
2423,Hyundai Santro LP zipPlus,2003,€ 75000,57000
2426,Tata Bolt Quadrajet XE,2016,€ 250000,120000
2429,Maruti 800 AC BSIII,2005,€ 100000,30000
2432,Hyundai EON Era Plus,2013,€ 280000,3240
2435,Hyundai i20 Magna 1.2,2015,€ 540000,5000
2438,Hyundai i20 1.2 Asta,2018,€ 700000,10000
2441,Maruti Ciaz VDi Plus,2015,€ 525000,100000
2444,Hyundai i20 Asta 1.4 CRDi,2016,€ 430000,80000
2447,Hyundai Santro LE,2002,€ 65000,70000
2450,Maruti Vitara Brezza VDi,2018,€ 800000,35000
2453,Hyundai Santro Xing XL eRLX Euro III,2007,€ 75000,114000
2456,Hyundai Getz 1.3 GLS,2008,€ 210000,53772
2459,Mahindra Quanto C8,2012,€ 195000,140000
2462,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,€ 400000,120000
2465,Hyundai EON Magna Plus,2012,€ 170000,60000
2468,Renault KWID RXT,2016,€ 225000,25000
2471,Maruti Wagon R DUO LPG,2014,€ 210000,90000
2474,Maruti Wagon R LXI,2020,€ 240000,120000
2477,Chevrolet Enjoy 1.3 TCDi LS 8,2015,€ 300000,175000
2480,Chevrolet Spark 1.0 LS,2011,€ 99000,100000
2483,Honda City i VTEC SV,2014,€ 620000,36000
2486,Honda Amaze VX i-DTEC,2013,€ 500000,30000
2489,Jaguar XJ 5.0 L V8 Supercharged,2010,€ 2550000,40000
2492,Honda Brio E MT,2013,€ 260000,70000
2495,Maruti Swift VVT ZXI,2017,€ 550000,60000
2498,Tata Indigo CR4,2011,€ 150000,155500
2501,Hyundai i10 Asta AT,2011,€ 350000,50000
2504,Chevrolet Beat LT,2016,€ 320000,40000
2507,Maruti Swift VDI BSIV,2015,€ 400000,100000
2510,Maruti Alto LXi,2012,€ 175000,80000
2513,Chevrolet Beat LT,2011,€ 120000,90000
2516,Renault Duster 110PS Diesel RxZ,2013,€ 320000,90000
2519,Hyundai Santro Xing XG,2006,€ 70000,110000
2522,Maruti Swift Dzire ZXI Plus,2019,€ 810000,15000
2525,Maruti 800 AC,2007,€ 95000,100000
2528,Maruti Alto K10 LXI CNG,2020,€ 282000,40000
2531,Maruti 800 Std BSII,2004,€ 80000,60000
2534,Tata Nano LX SE,2013,€ 72000,25000
2537,Hyundai i20 Magna 1.2,2016,€ 600000,25000
2540,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,€ 640000,23000
2543,Maruti Alto K10 VXI,2018,€ 380000,22155
2546,Maruti Ciaz 1.4 Delta,2018,€ 650000,70000
2549,Maruti Alto LX,2009,€ 150000,60000
2552,Hyundai i20 Asta,2009,€ 280000,110000
2555,Tata Nexon 1.2 Revotron XM,2018,€ 430000,30000
2558,Mahindra Bolero Power Plus SLX,2019,€ 800000,15000
2561,Maruti Zen D,2003,€ 75000,100000
2564,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,€ 650000,70000
2567,Maruti Eeco 7 Seater Standard BSIV,2017,€ 390000,24000
2570,Honda City 1.5 EXI,2005,€ 100000,120000
2573,Mercedes-Benz New C-Class 220 CDI AT,2013,€ 1500000,35000
2576,Maruti SX4 Zxi with Leather BSIII,2007,€ 175000,78380
2579,Renault Duster 110PS Diesel RxZ,2012,€ 434999,110000
2582,Ford Figo Diesel Titanium,2010,€ 170000,90000
2585,Ford Figo Diesel Titanium,2011,€ 190000,90000
2588,Maruti Swift Dzire VDi,2009,€ 250000,150000
2591,Mahindra Xylo E4,2009,€ 229999,230000
2594,Maruti Esteem Vxi - BSIII,2006,€ 140000,70000
2597,Maruti Swift VDI BSIV,2017,€ 600000,80362
2600,Hyundai i20 1.2 Sportz,2012,€ 280000,110000
2603,Chevrolet Beat Diesel LT,2012,€ 150000,60000
2606,Chevrolet Cruze LTZ AT,2015,€ 650000,50000
2609,Nissan Micra XL,2014,€ 210000,40000
2612,BMW 5 Series 520d Luxury Line,2017,€ 2900000,40000
2615,Chevrolet Enjoy 1.3 TCDi LS 8,2013,€ 425000,20000
2618,Hyundai EON Era Plus Option,2014,€ 265000,55000
2621,Fiat Linea T Jet Emotion,2018,€ 890000,1136
2624,Renault Scala RxL,2013,€ 365000,55000
2627,Ford Figo Petrol Titanium,2014,€ 350000,43000
2630,Maruti Ciaz ZDi SHVS,2016,€ 685000,60000
2633,Skoda Rapid 1.5 TDI Ambition BSIV,2018,€ 940000,2650
2636,Mahindra XUV500 W6 2WD,2017,€ 1000000,40000
2639,Mahindra XUV300 W8 Option,2019,€ 1150000,15000
2642,Maruti Ertiga SHVS ZDI,2016,€ 450000,115962
2645,Nissan Terrano XE D,2015,€ 590000,65000
2648,Maruti S-Cross Facelift,2017,€ 800000,40000
2651,Hyundai i20 Magna 1.4 CRDi (Diesel),2012,€ 385000,58000
2654,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,€ 2000000,15000
2657,Hyundai EON Era Plus,2012,€ 235000,54000
2660,Volkswagen Ameo 1.5 TDI Highline,2017,€ 640000,56000
2663,Maruti Alto LX,2006,€ 52000,120000
2666,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,€ 80000,90000
2669,Maruti Alto LX,2012,€ 140000,70000
2672,Hyundai Verna i (Petrol),2008,€ 120000,90000
2675,Mahindra Renault Logan 1.5 DLS,2008,€ 89999,213000
2678,Chevrolet Optra Magnum 2.0 LS BSIII,2012,€ 180000,120000
2681,Mahindra Scorpio S11 BSIV,2017,€ 1500000,20000
2684,Hyundai i20 Active 1.2 SX,2017,€ 700000,10000
2687,Maruti SX4 Celebration Diesel,2012,€ 285000,80000
2690,Hyundai Grand i10 Magna,2015,€ 390000,90000
2693,Maruti Alto LXi BSIII,2008,€ 125000,80000
2696,Maruti SX4 Zxi with Leather BSIII,2008,€ 225000,60000
