,ID,name,fuel,seller_type,transmission,owner,year,selling_price,km_driven,marca
0,2000,Maruti 800 AC,Petrol,Individual,Manual,First Owner,2007,€ 342369,70000,Maruti
1,2003,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,First Owner,2007,€ 135000,50000,Maruti
2,2006,Hyundai Verna 1.6 SX,Diesel,Individual,Manual,First Owner,2012,€ 600000,100000,Hyundai
3,2009,Datsun RediGO T Option,Petrol,Individual,Manual,First Owner,2017,€ 250000,46000,Datsun
4,2012,Honda Amaze VX i-DTEC,Diesel,Individual,Manual,Second Owner,2014,€ 450000,141000,Honda
5,2015,Maruti Alto LX BSIII,Petrol,Individual,Manual,First Owner,2007,€ 140000,125000,Maruti
6,2018,Hyundai Xcent 1.2 Kappa S,Petrol,Individual,Manual,First Owner,2016,€ 550000,25000,Hyundai
7,2021,Tata Indigo Grand Petrol,Petrol,Individual,Manual,Second Owner,2014,€ 240000,60000,Tata
8,2024,Hyundai Creta 1.6 VTVT S,Petrol,Individual,Manual,First Owner,2015,€ 850000,25000,Hyundai
9,2027,Maruti Celerio Green VXI,CNG,Individual,Manual,First Owner,2017,€ 365000,78000,Maruti
10,2030,Chevrolet Sail 1.2 Base,Petrol,Individual,Manual,First Owner,2015,€ 260000,35000,Chevrolet
11,2033,Tata Indigo Grand Petrol,Petrol,Individual,Manual,First Owner,2014,€ 250000,100000,Tata
12,2036,Toyota Corolla Altis 1.8 VL CVT,Petrol,Dealer,Automatic,First Owner,2018,€ 1650000,25000,Toyota
13,2039,Maruti 800 AC,Petrol,Individual,Manual,First Owner,2007,€ 60000,70000,Maruti
14,2042,Maruti Wagon R LXI Minor,Petrol,Individual,Manual,First Owner,2007,€ 135000,50000,Maruti
15,2045,Hyundai Verna 1.6 SX,Diesel,Individual,Manual,First Owner,2012,€ 600000,100000,Hyundai
16,2048,Datsun RediGO T Option,Petrol,Individual,Manual,First Owner,2017,€ 250000,46000,Datsun
17,2051,Honda Amaze VX i-DTEC,Diesel,Individual,Manual,Second Owner,2014,€ 450000,141000,Honda
18,2054,Maruti Alto LX BSIII,Petrol,Individual,Manual,First Owner,2007,€ 140000,125000,Maruti
19,2057,Hyundai Xcent 1.2 Kappa S,Petrol,Individual,Manual,First Owner,2016,€ 550000,25000,Hyundai
20,2060,Tata Indigo Grand Petrol,Petrol,Individual,Manual,Second Owner,2014,€ 240000,60000,Tata
21,2063,Hyundai Creta 1.6 VTVT S,Petrol,Individual,Manual,First Owner,2015,€ 850000,25000,Hyundai
22,2066,Maruti Celerio Green VXI,CNG,Individual,Manual,First Owner,2017,€ 365000,78000,Maruti
23,2069,Chevrolet Sail 1.2 Base,Petrol,Individual,Manual,First Owner,2015,€ 260000,35000,Chevrolet
24,2072,Tata Indigo Grand Petrol,Petrol,Individual,Manual,First Owner,2014,€ 250000,100000,Tata
25,2075,Toyota Corolla Altis 1.8 VL CVT,Petrol,Dealer,Automatic,First Owner,2018,€ 1650000,25000,Toyota
26,2078,Maruti Ciaz VXi Plus,Petrol,Dealer,Manual,First Owner,2015,€ 585000,24000,Maruti
27,2081,Hyundai Venue SX Opt Diesel,Diesel,Dealer,Manual,First Owner,2019,€ 1195000,5000,Hyundai
28,2084,Chevrolet Enjoy TCDi LTZ 7 Seater,Diesel,Individual,Manual,Second Owner,2013,€ 390000,33000,Chevrolet
29,2087,Jaguar XF 2.2 Litre Luxury,Diesel,Dealer,Automatic,First Owner,2014,€ 1964999,28000,Jaguar
30,2090,Mercedes-Benz New C-Class 220 CDI AT,Diesel,Dealer,Automatic,First Owner,2013,€ 1425000,59000,Mercedes-Benz
31,2093,Maruti Vitara Brezza ZDi Plus AMT,Diesel,Dealer,Automatic,First Owner,2018,€ 975000,4500,Maruti
32,2096,Audi Q5 2.0 TDI,Diesel,Dealer,Automatic,First Owner,2011,€ 1190000,175900,Audi
33,2099,Honda City V MT,Petrol,Dealer,Manual,First Owner,2018,€ 930000,14500,Honda
34,2102,Tata Tigor 1.2 Revotron XT,Petrol,Individual,Manual,First Owner,2018,€ 525000,15000,Tata
35,2105,Audi A6 2.0 TDI  Design Edition,Diesel,Dealer,Automatic,First Owner,2013,€ 1735000,50000,Audi
36,2108,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Diesel,Dealer,Automatic,Second Owner,2012,€ 1375000,33800,Mercedes-Benz
37,2111,Skoda Superb Ambition 2.0 TDI CR AT,Diesel,Dealer,Automatic,Second Owner,2011,€ 450000,130400,Skoda
38,2114,Toyota Corolla Altis G AT,Petrol,Individual,Automatic,First Owner,2016,€ 900000,50000,Toyota
39,2117,Toyota Innova 2.5 G (Diesel) 7 Seater,Diesel,Individual,Manual,First Owner,2015,€ 1300000,80000,Toyota
40,2120,Jeep Compass 1.4 Sport Plus BSIV,Petrol,Individual,Manual,First Owner,2019,€ 1400000,10000,Jeep
41,2123,Mercedes-Benz E-Class E 200 CGI Elegance,Petrol,Dealer,Automatic,First Owner,2010,€ 850000,119000,Mercedes-Benz
42,2126,Hyundai i10 Magna 1.1L,Petrol,Individual,Manual,Fourth & Above Owner,2014,€ 229999,60000,Hyundai
43,2129,BMW 3 Series 320d Sport Line,Diesel,Dealer,Automatic,Second Owner,2013,€ 1550000,75800,BMW
